nombre,tipo_plaza,ciudad,wifi,cine,estacionamiento,tiendas,niveles,Autoservicio,"Cafés, Helados y Dulces",Calzado,Departamental,Deportes,Dulces y Chocolates,Entretenimiento,Gimnasio,"Foto, Música, Libros y Regalos",Hogar,Joyería y Accesorios,Mascotas,Moda,Niños y bebés,Ópticas,Otros,Restaurantes y Food Court,Salud y Belleza,Servicios,Tecnología,Vinos y Licores,num_elementos,num_tiendas
universidad 767,Lifestyle Center,CDMX,si,si,si,si,2 niveles,0,"'El Ocho', 'Moyo Frozen Yogurt', 'Starbucks'",0,0,0,0,0,Sportium','Librerías Gandhi',0,0,0,0,0,0,0,"Carl's Jr., ""Chili's"", 'La Mansión', 'Pure Health', 'Sushi Itto'",'Stoa Beauty Center'," 'Auri', 'Office Depot', 'Tintorería Bosques'",0,0,6,14
unidad comercial xilotzingo,Lifestyle Center,Puebla Heróica P...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
town center nicolas romero,Lifestyle Center,Estado de ... Villa Nico...,si,si,si,si,1 nivel,"""Sam's Club"", 'Walmart'"," 'La Michoacana', 'Moyo Frozen Yogurt', 'Nutrisa', 'The Italian Coffee'","'Capa de Ozono', 'El Par', 'Flexi', 'USA Shoes', 'Zapaterías Tropic'",Coppel',ADIKK',0," 'Cinépolis', 'Futbol Pasión y Competencia', 'Game Spot'",,0," 'Atlas City Comfort', 'Ingenia Muebles', 'Muebles Dico', 'Parisina', 'Squadra'",Mobo','Maskota',"'Aldo Conti', 'Ferrioni Outlet', 'Líneas', 'Liz Minelli', 'Oggi Jeans', 'Promoda Outlet', 'Quarry Jeans', 'Salvaje Tentación', 'Villa Caval'"," 'Baby Up', 'Chilpayates'","'Más Visión', 'Óptica Americana', 'Ópticas Devlyn'",0,"'Asia Town', 'Chang Hing', ""Domino's Pizza"", 'El Antojito Francés', 'KFC', 'Los Molinos', 'Perros y Burros', 'Subway', 'Taco Beef', 'Tortas Locas Hipocampo', 'Wings Station'",Glam'," 'Banamex', 'CAC Telcel', 'Firestone', 'Interlingua', 'Iusacell', 'Laboratorios Bios', 'Megacable', 'Peluquearte', 'Servicios Municipales', 'Telcel'"," 'Telcel', 'Movistar', 'Nextel', 'RadioShack', 'Steren'",0,16,63
town center el rosario,Lifestyle Center,CDMX,si,si,si,si,4 niveles,"""Sam's Club"", 'Walmart'","'Helados Holanda', 'Krispy Kreme', 'La Michoacana', 'La Nueva Michoacana', 'Nutrisa', 'Starbucks', 'The Italian Coffee', 'Yogurista'"," 'Capa de Ozono', 'Converse', 'Dorothy Gaynor', 'Mistertennis', 'Tres Reyes', 'Zapaterías Tropic'","Coppel', 'Suburbia'",Innovasport',Chilim Balam',"'Cinépolis', 'Futbol Catorce', 'Gamers', 'Pista de Hielo', 'Recórcholis'",Dxgym','Librerías Gandhi',"'Atlas City Comfort', 'Bella Form', 'Idea Interior', 'Parisina', 'Squadra'","Bfashion', 'Fioremila', 'Mobo', 'Todo Moda'",'Maskota',"'Aldo Conti', 'Dioro', 'Furor', 'Líneas', 'Liz Minelli', 'LOB Footwear', 'Marcas & Marcas Outlet', 'Nicholas', 'Promoda Outlet', 'Quarry Jeans', 'Reduced', 'Rimini', 'U.S. Polo Assn.'"," 'Baby Town', 'Juguetron'","'Óptica Americana', 'Ópticas Devlyn'",Lotería Nacional',"'Asadero Beef', 'Asia Town', 'Burger King', 'Cabo Grill', 'Chang Hing', ""Chili's"", 'Day light Salads', ""Domino's Pizza"", 'Don Fetuchini', 'El Antojito Francés', 'Fonda Argentina', 'Guadalupe Reyes', 'Madero Restaurant-Café', ""McDonald's"", 'Perros y Burros', 'Subway', 'Sushi Roll', 'Tortas Locas Hipocampo', 'Vips', 'Wing Stop', 'Xalú'","'Jordana', 'Mishka Perfumería', 'Sally Beauty'","'BBVA ', 'Business & Therapy Place', 'Centro de Atención al Pie', 'Cuco & Guille', 'Depelle', 'Enrique Bricker', 'HSBC', 'Interlingua', 'Iusacell', 'Laboratorio Médico Polanco', 'Médicor', 'Montepío Luz Saviñón', 'Power Service', 'Telcel', 'Tintorerías MAX', 'Uñas Finas'","'Best Buy', 'Movistar', 'Nextel Centro de Atención a Cl...', 'RadioShack', 'Steren'",0,20,100
toreo parque central,Lifestyle Center,Estado de ... Naucalpan ...,si,si,si,si,5 niveles,Chedraui Selecto',"'Krispy Kreme', 'Nutrisa', 'Starbucks', 'The Urban Corner'"," 'Aldo', 'Antela Rossi', 'Bio Relax', 'Capa de Ozono', 'Dic&Co', 'Dorothy Gaynor', 'Flexi', 'Georgie Boy', 'Giolini', 'Gula', 'La Milagresa LM & CO.', 'La Milagresa LM & CO.', 'Merrell', 'Michel Domit', 'Mistertennis', 'Nine West', 'Prada', 'Shoes México Kids & Teens Foot...', 'Skechers', 'Steve Madden', 'Stylo Zapaterías', ""The Athlete's Foot"", 'Trender'",Sanborns',"Adidas Originals', 'Innovasport', 'New Balance', 'Rookie'",Chilim Balam'," 'Cinépolis', 'Disfraces de Peli', 'Gamers', 'Jogo Jogo', 'Recórcholis'",Sport City',Photofolio',0,"Accessorize', 'Aristocrazy', 'Bizzarro', 'Central Time', 'Cristal Joyas', 'Guvier', 'Isadora', 'Kipling', 'Mobo', 'Pandora', 'Swarovski', 'Tanya Moss', 'Time is Luxury', 'Todo Moda', 'Tous'",Petland',"'4FK', 'American Eagle Outfitters', 'Banana Republic', 'BARI Swimwear', 'Bershka', 'Brooks Brothers', 'Chaps', ""Chico's"", 'Cuadra', 'Cuidado con el Perro', 'Desigual', 'Dockers', 'Express', 'Ferrioni', 'Fiorentina', 'Forever 21', 'Gap', 'Get It', 'Guess', 'H&M', 'Hang Ten', 'Ivonne', 'Julio', 'Lacoste', 'Lefties', ""Levi's"", 'Liz Minelli', 'Loft', 'Mango', 'Massimo Dutti', ""Men's Fashion"", 'Milia & Jojo', 'New Forest Polo Club', 'Nicholas', 'Oysho', 'Penguin', 'Pull & Bear', 'Quarry Jeans', ""Robert's"", 'Sexy Jeans', 'Sfera', 'Soho', 'Soley', 'Springfield', 'Stradivarius', 'Studio F', 'To Be Fashion Action', 'Tommy Hilfiger', 'Toxic', 'Vanity', 'Vicky Form', ""Victoria's Secret"", 'Violeta by Mango', ""Women'secret"", 'Yamamay', 'Zara', 'Zara Home'","'Baby Creysi', 'Campanita & Kids', ""Carter's"", 'Imaginarium', 'Juguetibici', 'Justice', 'Offcorss', 'Pirinolos'","'Kauffman Ópticas', 'Ópticas Devlyn', 'Ópticas Lux', 'Sunglass Hut'",0,"'Aztlán Sabores De Mexico', 'Bak', 'Burger King', 'California Pizza Kitchen', ""Chili's"", 'Crepes & Waffles', 'Day Light Salads', ""Domino's Pizza"", ""Italianni's"", 'La Cervecería de Barrio', 'Mesón del Toreo', 'Moshi Moshi', 'Olive Garden', ""P.F. Chang's"", 'Panda Express', 'Red Lobster', 'Restaurante El Bajío', 'Sbarro', 'Sixties Burger', 'Subway', 'Sushi Itto', 'Sushi Roll', 'Taco Beef', 'Taco Inn', 'Vapiano', 'Which Wich'","Bath & Body Works', 'GNC', ""L'Occitane en Provence"", 'MAC Cosmetics', 'Perfume Gallery', 'Phiten', 'Sally Beauty', 'Sephora', 'Stoa Beauty Center', 'The Body Shop'","Aeroméxico', 'Banamex', 'Banorte', 'BBVA ', 'Centro de Atención a Clientes ...', 'Dentix', 'Enrique Bricker', 'Iusacell', 'Le Parisien', 'Tintorerías Pressto'","A-Móvil', 'Best Buy', 'Cellairis', 'HP Store', 'iShop Mixup'",0,18,177
terraza pedregal,Lifestyle Center,CDMX,si,si,si,si,3 niveles,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tecamac power center,Lifestyle Center,Estado de ... Tecámac d...,si,si,si,si,1 nivel,"""Sam's Club"", 'Walmart'","'La Michoacana', 'Nutrisa', 'Santa Clara'","'2 Hermanos', 'Converse', 'Flexi', 'La Ribera', 'USA Shoes', 'Zapaterías Tropic'",Suburbia',"'Atléticos', 'Grabasa', 'Martí Outlet'",0," 'FunCentral', 'Gamers'",Dxtivo',Librería Visión',"'Atlas City Comfort', 'Colchas Concord', 'Comex', ""D'Europe"", 'Muebles Dico', 'Prichos', 'The Home Depot'",Chido One',0,"'Aldo Conti', 'Britos Jeans', 'Ferrioni Outlet', 'Líneas', 'Quarry Jeans'",0,"'Más Visión', 'Óptica Americana'",0,"'Asadero Beef', 'Burger King', 'Burger King', 'China King', 'El Huarachazo', 'El Portón', 'Hamburguesas Marisol', 'KFC', 'Little Caesars', 'Subway', 'Trompo Inn'",0,"Banamex', 'BBVA ', 'CFE', 'Econolube', 'Efectimundo', ""Estética D'Bellé"", 'Infonavit', 'Iusacell', 'Office Max', 'Prendamex', 'Scotiabank'","'A-Móvil', 'Movistar Centro De Atención A ...', 'RadioShack', 'Steren', 'Yesitel Movistar'",0,15,61
super plaza miramontes,Lifestyle Center,CDMX,si,si,si,si,5 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super plaza las haciendas,Lifestyle Center,Estado de ... Cuautitlá...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super plaza la viga,Lifestyle Center,CDMX,si,si,si,si,1 nivel,Bodega Aurrera',0,0,0,0,0,"Cinemex', 'Yak'",0,0,0,0,0,Star Blue',0,Vida visión',0," 'Asado Brasil', 'Burger King', 'Los Bisquets Bisquets Obregón', 'Potzollcalli'",0," 'BanBajío', 'Banorte', 'Montepío Luz Saviñón'",Steren',0,7,13
super center san mateo,Lifestyle Center,Estado de ... Naucalpan ...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,'¡Ay Güey!',0,0,0,0,0,0,0,0,1,1
sun mall vip,Lifestyle Center,Nuevo Leó... Juárez,si,si,si,si,1 nivel,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun mall guadalupe,Lifestyle Center,Nuevo Leó... Guadalupe,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shops cuajimalpa,Lifestyle Center,CDMX,si,si,si,si,2 niveles,0,Nutrisa',"Coppel Canadá', 'Tenis Palace Outlet'",0,0,0,'Cine+foro',0,0,'Colchas Concord',Ati fundas',0,Central Outlet',0,0,0,"'Creps & Friends', 'Red Hot Chili Burger'","Ecosalud', 'Redufácil'"," 'AT&T', 'Banamex', 'Banorte', 'Dentalife', 'Farmacias Benavides', 'INE Módulo de atención', 'Mail Boxes Etc.'","'Movistar', 'Telcel Diadom",0,10,20
sendero acapulco,Lifestyle Center,Guerrero Acapulco,si,si,si,si,1 nivel,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rio grande mall,Lifestyle Center,Chihuahua Juárez,si,si,si,si,1 nivel,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reforma 222,Lifestyle Center,CDMX,si,si,si,si,4 niveles,0,"Neve Gelato', 'Nutrisa', 'Starbucks'","'Aldo', 'Converse', 'Merrell', 'Nike', 'Nine West', 'VIA UNO'",'Sanborns','Adidas',0,"'Cinemex', 'Mixup'",Energy Fitness',"'Librería Porrúa', 'Photofolio'",0,"'Bizzarro', 'LeSportsac', 'Todo Moda', 'Tous'",0," 'Aéropostale', 'Bershka', 'Guess', 'Ivonne', 'Lacoste', 'Massimo Dutti', 'Oysho', 'Pull & Bear', 'Rapsodia', 'Scappino', 'Soho', 'Soley', 'Tommy Hilfiger', 'United Colors of Benetton', ""Women'secret"", 'Zara', 'Zara Home'",0,'Ópticas Lux',0,"'Arrachera House', 'Burger King', ""Chili's"", 'Crepes & Waffles', 'Day Light Salads', ""Domino's Pizza"", 'Dynasty Chinese Food Express', ""Italianni's"", 'La Destilería', ""McDonald's"", ""McDonald's Helados"", 'Mr. Sushi', ""P.F. Chang's"", 'Restaurante El Bajío', 'Sbarro', 'Sixties Burger', 'Spoleto', 'Subway', 'Sushi Itto', 'Taco Inn', 'Teriyaki San'","Ópticas Lux', , 'GNC', 'MAC Cosmetics', 'Perfume Gallery'","'Centro de Atención a Clientes ...', 'Dentalia', 'Enrique Bricker', 'OrigiNails', 'Scotiabank'","A-Móvil', 'iShop Mixup', 'Steren Shop'",0,14,71
real center,Lifestyle Center,Jalisco Zapopan,si,si,si,si,1 nivel,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quinta alegria,Lifestyle Center,Quintana R... Playa del ...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q plaza,Lifestyle Center,Querétaro San Juan d...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Little Caesars',0,'BodyBrite',0,0,2,2
punto sao paulo,Lifestyle Center,Jalisco Guadalajar...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
punta langosta,Lifestyle Center,Quintana R... San Miguel,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puerta texcoco,Lifestyle Center,Estado de ... Ejido de C...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
provenza center,Lifestyle Center,Jalisco Los Gavila...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
premium outlets punta norte,Lifestyle Center,Estado de ... Ciudad de ...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
portal churubusco,Lifestyle Center,CDMX,si,si,si,si,2 niveles,Superama',"'Finca Santa VeraCruz', 'Nutrisa', 'Santa Clara', 'Starbucks'",0,0,'Outlet Deportes',"'Chunkies Cookies', 'Ñom Ñom'","'Cinépolis', 'El Trenecito'",Club C+',0, 'Cocinas Naveli',Mundo Moda',0,"Andanzza', 'Ella Secret', 'Men Lova'",0,Óptica Americana',0," ""Italianni's"", 'Madero Restaurant-Café', 'Subway', 'Sushi itto', 'Vips'","Herbolare', 'Sally Beauty'"," 'AXA', 'BBVA ', 'BodyBrite', 'Flequitos', 'Glam Salon', 'HSBC', 'Inbursa', 'Iusacell', 'IXE', 'Santander', 'Telcel'",Nextel',0,14,36
plazaragoza,Lifestyle Center,CDMX,si,si,si,si,2 niveles,Sam's Club,Nutrisa', 'Nike Factory Store',0,0,0,0,0,0,0,0,0,0,0,0,0,'City Chopp',0," 'Banamex', 'Inbursa', 'Prenda Pronto', 'Telcel'",Nextel',0,6,9
plaza w,Lifestyle Center,Puebla Tlaxcalanc...,si,si,si,si,2 niveles,"'Mercatlán', 'Oxxo Express'","Shay', 'The Italian Coffee'",0,0,Tecfit',0,La Cantada',0,0," 'Diseño Tres30', 'Engineering For Kids', 'Surprise Florería'",,0,Eres Novia',0,0,0," 'Djam', 'El Grillo', ""Papa John's Pizza"", 'Sushi Tag'",0,"'Biológicos Especializados', 'Bioscan', 'Clean & Clean', 'Clínica Estética Radiance', 'Dental Vip', 'Destino Brokers', 'Farmadroguería Medina', 'Gallery', 'Mundo Joven', 'Nutsa'",0,0,8,24
plaza victoria,Lifestyle Center,Estado de ... Huixquiluc...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza vestir,Lifestyle Center,Aguascalientes,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza valle alto 200,Lifestyle Center,Nuevo Leó... Monterrey,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza universidad puebla,Lifestyle Center,Puebla Heróica P...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza universidad campeche,Lifestyle Center,Campeche,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza universidad aguascalientes,Lifestyle Center,Aguascalientes,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza universidad,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
plaza universidad,Lifestyle Center,Hidalgo Pachuca,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
plaza universidad,Lifestyle Center,Jalisco Zapopan,si,si,si,si,1 nivel,0,"'Cielito Querido Café', 'Nutrisa'"," 'Antela Rossi', 'Dorothy Gaynor', 'Flexi', 'Giolini', 'La Milagresa & Crocs', 'La Milagresa LM & CO.', 'Michel Domit', 'Sorrento', ""The Athlete's Foot"", 'Trender', 'Vans'",Sanborns',"'Martí', 'Puma","Chilim Balam', 'Turin'","Cinépolis', 'Game Planet', 'Yak'",0,Free life',0,"'Free Life', 'Accessorize', 'Bizzarro', 'Cristal Joyas', 'Mobo'",Maskota',"'Aldo Conti', 'Aldo Conti Jr.', 'BARI Swimwear', 'Bershka', 'Calvin Klein Underwear', 'Ferrioni', 'Julio', 'Líneas', 'Liz Minelli', 'LOB', 'Massimo Dutti', ""Men's Factory"", 'Oysho', 'Quarry Jeans', ""Robert's"", 'Shasa', 'Springfield', 'Zara'",Campanita & Kids'," 'Ópticas Devlyn', 'Vetro'",Numismática Plaza',"Applebee's, 'Arrachera House', 'Asian Bistro', 'Dynasty Chinese Food Express', 'Green Grass', ""Italianni's"", 'La Ciudad de Colima', ""McDonald's"", ""Sandy's Pizza"", 'Sbarro', 'Sixties Burger', 'Subway', 'Sushi Roll', 'Taco Inn', 'Teriyaki San'",GNC',"'BBVA ', 'CIBanco', 'Estética Imagen', 'Greñitas', 'HSBC', 'Interlingua', 'International Nails', 'IXE', 'Médicor', 'My Style', 'Santander', 'Slim Center', 'Villa Bella Salón'"," 'Celular Express', 'iShop Mixup', 'Steren Shop'",0,17,81
plaza torres lindavista,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza tolin,Lifestyle Center,Puebla Heróica P...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza tlalne fashion mall,Lifestyle Center,Estado de ... San Lorenz...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
plaza terranova,Lifestyle Center,Jalisco Guadalajar...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza tepeyac,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
